# Appendix 4 to 'Meta-analysis of chromosome-scale crossover rate variation in eukaryotes
# and its significance to evolutionary genomics' by Haenel, Laurentino, Roesti & Berner
# 
# This file lists physical map length (in megabases, Mb), genetic (or linkage) map length 
# (in centimorgan, cM), and crossover rate (genetic divided by physical map length, cM/Mb)
# for each chromosome in 52 total species. These data represent the input for all analyses
# presented in Figure 5. The 'Kingdom' column specifies the affiliation of each species to 
# animals, plants, or fungi. The chromosome names follow those used in the source publications
# (the references and other details are provided in Table 1). Note that physical map lengths
# generally slightly underestimate the values in the source publications because for 
# consistency across data sets, physical chromosome lengths were defined by the midpoint of the
# last marker interval, not by the position of the terminal marker.

Species	Kingdom	Chromosome	Physical.map.length.Mb	Genetic.map.length.cM	Crossover.rate
Danio.renio	Animals	19	50.24	82.44	1.64
Danio.renio	Animals	20	55.11	87.84	1.59
Danio.renio	Animals	21	44.21	82.72	1.87
Danio.renio	Animals	22	42.14	83.30	1.98
Danio.renio	Animals	23	46.03	81.07	1.76
Danio.renio	Animals	24	43.68	76.97	1.76
Danio.renio	Animals	25	38.44	76.89	2.00
Solanum.tuberosum	Plants	Chr1	88.95	99.74	1.12
Solanum.tuberosum	Plants	Chr2	46.94	69.48	1.48
Solanum.tuberosum	Plants	Chr3	61.81	81.82	1.32
Solanum.tuberosum	Plants	Chr4	71.31	84.69	1.19
Solanum.tuberosum	Plants	Chr5	52.79	65.51	1.24
Solanum.tuberosum	Plants	Chr6	58.89	77.75	1.32
Solanum.tuberosum	Plants	Chr7	56.02	64.04	1.14
Solanum.tuberosum	Plants	Chr8	56.63	68.40	1.21
Solanum.tuberosum	Plants	Chr9	61.41	80.66	1.31
Solanum.tuberosum	Plants	Chr10	59.89	60.74	1.01
Solanum.tuberosum	Plants	Chr11	44.60	61.08	1.37
Solanum.tuberosum	Plants	Chr12	61.60	66.42	1.08
Gallus.gallus	Animals	Chr2	149.05	318.27	2.14
Gallus.gallus	Animals	Chr3	113.28	267.42	2.36
Gallus.gallus	Animals	Chr5	60.71	161.05	2.65
Gallus.gallus	Animals	Chr6	36.38	113.21	3.11
Gallus.gallus	Animals	Chr7	36.69	116.33	3.17
Gallus.gallus	Animals	Chr8	30.63	92.42	3.02
Gallus.gallus	Animals	Chr9	24.65	92.70	3.76
Gallus.gallus	Animals	Chr10	21.70	90.30	4.16
Gallus.gallus	Animals	Chr11	21.42	70.38	3.29
Gallus.gallus	Animals	Chr12	20.14	74.72	3.71
Gallus.gallus	Animals	Chr13	18.01	58.57	3.25
Gallus.gallus	Animals	Chr14	15.67	67.22	4.29
Gallus.gallus	Animals	Chr15	12.57	55.56	4.42
Gallus.gallus	Animals	Chr17	10.58	52.71	4.98
Gallus.gallus	Animals	Chr18	10.62	50.95	4.80
Gallus.gallus	Animals	Chr19	10.61	51.86	4.89
Gallus.gallus	Animals	Chr20	13.92	50.61	3.63
Gallus.gallus	Animals	Chr21	6.68	50.48	7.56
Gallus.gallus	Animals	Chr22	3.77	55.48	14.72
Gallus.gallus	Animals	Chr23	5.72	44.06	7.70
Gallus.gallus	Animals	Chr24	6.20	46.88	7.55
Gallus.gallus	Animals	Chr26	4.89	47.16	9.64
Gallus.gallus	Animals	Chr27	4.33	52.45	12.12
Gallus.gallus	Animals	Chr28	4.29	51.08	11.92
Homo.sapiens	Animals	Chr1	243.82	273.04	1.12
Homo.sapiens	Animals	Chr2	241.34	259.52	1.08
Homo.sapiens	Animals	Chr3	199.37	222.15	1.11
Homo.sapiens	Animals	Chr4	190.54	203.52	1.07
Homo.sapiens	Animals	Chr5	181.30	206.15	1.14
Homo.sapiens	Animals	Chr6	170.04	190.77	1.12
Homo.sapiens	Animals	Chr7	156.77	183.70	1.17
Homo.sapiens	Animals	Chr8	147.16	167.16	1.14
Homo.sapiens	Animals	Chr9	134.01	160.98	1.20
Homo.sapiens	Animals	Chr10	134.78	177.98	1.32
Homo.sapiens	Animals	Chr11	134.16	153.50	1.14
Homo.sapiens	Animals	Chr12	135.10	172.67	1.28
Homo.sapiens	Animals	Chr13	114.65	130.91	1.14
Homo.sapiens	Animals	Chr14	102.50	123.08	1.20
Homo.sapiens	Animals	Chr15	100.22	134.47	1.34
Homo.sapiens	Animals	Chr16	88.45	130.29	1.47
Homo.sapiens	Animals	Chr17	80.72	136.02	1.69
Homo.sapiens	Animals	Chr18	77.59	121.96	1.57
Homo.sapiens	Animals	Chr19	62.26	109.63	1.76
Homo.sapiens	Animals	Chr20	58.44	99.24	1.70
Homo.sapiens	Animals	Chr21	44.34	65.79	1.48
Homo.sapiens	Animals	Chr22	47.64	68.35	1.43
Mus.musculus	Animals	Chr1	194.44	115.42	0.59
Mus.musculus	Animals	Chr2	179.89	99.48	0.55
Mus.musculus	Animals	Chr3	158.74	67.09	0.42
Mus.musculus	Animals	Chr4	150.94	81.49	0.54
Mus.musculus	Animals	Chr5	148.28	82.59	0.56
Mus.musculus	Animals	Chr6	146.63	65.45	0.45
Mus.musculus	Animals	Chr7	133.67	67.19	0.50
Mus.musculus	Animals	Chr8	126.97	74.02	0.58
Mus.musculus	Animals	Chr9	121.31	69.59	0.57
Mus.musculus	Animals	Chr10	130.18	75.25	0.58
Mus.musculus	Animals	Chr11	121.46	83.16	0.68
Mus.musculus	Animals	Chr12	113.38	56.79	0.50
Mus.musculus	Animals	Chr13	115.38	59.13	0.51
Mus.musculus	Animals	Chr14	114.42	69.94	0.61
Mus.musculus	Animals	Chr15	103.62	63.62	0.61
Mus.musculus	Animals	Chr16	97.44	51.76	0.53
Mus.musculus	Animals	Chr17	89.85	49.50	0.55
Mus.musculus	Animals	Chr18	89.64	39.51	0.44
Mus.musculus	Animals	Chr19	60.88	58.02	0.95
Rattus.norvegicus	Animals	Chr1	267.41	149.50	0.56
Rattus.norvegicus	Animals	Chr2	255.03	112.68	0.44
Rattus.norvegicus	Animals	Chr3	170.06	91.88	0.54
Rattus.norvegicus	Animals	Chr4	186.39	103.74	0.56
Rattus.norvegicus	Animals	Chr5	171.86	104.91	0.61
Rattus.norvegicus	Animals	Chr7	142.16	88.74	0.62
Rattus.norvegicus	Animals	Chr8	127.74	84.39	0.66
Rattus.norvegicus	Animals	Chr9	111.58	79.51	0.71
Rattus.norvegicus	Animals	Chr10	107.80	95.50	0.89
Rattus.norvegicus	Animals	Chr12	45.68	54.06	1.18
Rattus.norvegicus	Animals	Chr13	96.53	43.86	0.45
Rattus.norvegicus	Animals	Chr14	107.65	70.56	0.66
Rattus.norvegicus	Animals	Chr15	106.76	65.99	0.62
Rattus.norvegicus	Animals	Chr16	79.95	45.57	0.57
Rattus.norvegicus	Animals	Chr17	95.95	47.54	0.50
Rattus.norvegicus	Animals	Chr18	86.52	52.93	0.61
Rattus.norvegicus	Animals	Chr19	59.14	48.00	0.81
Rattus.norvegicus	Animals	Chr20	52.29	48.69	0.93
Aedes.aegypti	Animals	Chr1	176.15	52.20	0.30
Aedes.aegypti	Animals	Chr2	364.55	89.86	0.25
Aedes.aegypti	Animals	Chr3	266.00	87.57	0.33
Fusarium.graminearum	Fungi	Chr1	11.65	439.95	37.75
Fusarium.graminearum	Fungi	Chr2	8.98	525.36	58.49
Fusarium.graminearum	Fungi	Chr3	7.74	251.75	32.53
Fusarium.graminearum	Fungi	Chr4	9.40	292.22	31.09
Felis.catus	Animals	A1	239.50	414.38	1.73
Felis.catus	Animals	A2	168.74	315.83	1.87
Felis.catus	Animals	A3	140.93	276.44	1.96
Felis.catus	Animals	B1	207.15	305.32	1.47
Felis.catus	Animals	B2	153.29	267.58	1.75
Felis.catus	Animals	B3	150.64	290.63	1.93
Felis.catus	Animals	B4	142.19	277.72	1.95
Felis.catus	Animals	C1	222.47	424.68	1.91
Felis.catus	Animals	C2	160.29	244.64	1.53
Felis.catus	Animals	D1	115.39	232.41	2.01
Felis.catus	Animals	D2	88.28	208.44	2.36
Felis.catus	Animals	D3	94.26	199.97	2.12
Felis.catus	Animals	D4	94.51	217.17	2.30
Felis.catus	Animals	E1	61.29	204.87	3.34
Felis.catus	Animals	E2	61.76	159.24	2.58
Felis.catus	Animals	E3	42.46	131.93	3.11
Felis.catus	Animals	F1	70.18	158.46	2.26
Felis.catus	Animals	F2	84.48	155.19	1.84
Ictalurus.punctatus	Animals	Chr1	27.37	137.59	5.03
Ictalurus.punctatus	Animals	Chr2	27.89	168.86	6.05
Ictalurus.punctatus	Animals	Chr3	28.31	165.54	5.85
Ictalurus.punctatus	Animals	Chr4	20.63	128.97	6.25
Ictalurus.punctatus	Animals	Chr5	23.21	138.30	5.96
Ictalurus.punctatus	Animals	Chr6	28.05	138.74	4.95
Ictalurus.punctatus	Animals	Chr7	23.80	116.76	4.91
Ictalurus.punctatus	Animals	Chr8	27.28	143.74	5.27
Ictalurus.punctatus	Animals	Chr9	26.33	146.22	5.55
Ictalurus.punctatus	Animals	Chr10	20.94	126.32	6.03
Ictalurus.punctatus	Animals	Chr11	22.75	101.92	4.48
Ictalurus.punctatus	Animals	Chr12	22.67	105.42	4.65
Ictalurus.punctatus	Animals	Chr13	21.72	111.43	5.13
Ictalurus.punctatus	Animals	Chr14	22.72	114.24	5.03
Ictalurus.punctatus	Animals	Chr15	23.59	116.29	4.93
Ictalurus.punctatus	Animals	Chr16	17.43	129.49	7.43
Ictalurus.punctatus	Animals	Chr17	4.45	66.00	14.84
Ictalurus.punctatus	Animals	Chr18	17.57	131.27	7.47
Ictalurus.punctatus	Animals	Chr19	17.65	90.00	5.10
Ictalurus.punctatus	Animals	Chr20	13.55	117.16	8.65
Ictalurus.punctatus	Animals	Chr21	18.59	110.97	5.97
Ictalurus.punctatus	Animals	Chr22	16.79	99.67	5.94
Ictalurus.punctatus	Animals	Chr23	17.29	120.00	6.94
Ictalurus.punctatus	Animals	Chr24	17.43	108.95	6.25
Ictalurus.punctatus	Animals	Chr25	16.99	113.92	6.71
Ictalurus.punctatus	Animals	Chr26	12.26	108.21	8.82
Ictalurus.punctatus	Animals	Chr27	16.82	113.27	6.73
Ictalurus.punctatus	Animals	Chr28	15.73	114.55	7.28
Ictalurus.punctatus	Animals	Chr29	8.86	107.42	12.13
Nasonia.vitripennis	Animals	1	48.16	94.50	1.96
Nasonia.vitripennis	Animals	2	39.32	89.80	2.28
Nasonia.vitripennis	Animals	3	33.84	98.90	2.92
Nasonia.vitripennis	Animals	4	35.25	87.60	2.49
Nasonia.vitripennis	Animals	5	29.28	76.10	2.60
Cyprinus.carpio	Animals	LG1	15.30	92.06	6.02
Cyprinus.carpio	Animals	LG2	19.00	80.80	4.25
Cyprinus.carpio	Animals	LG3	20.57	77.33	3.76
Cyprinus.carpio	Animals	LG4	11.35	127.32	11.22
Cyprinus.carpio	Animals	LG5	20.92	55.93	2.67
Cyprinus.carpio	Animals	LG6	19.72	79.98	4.06
Cyprinus.carpio	Animals	LG7	14.16	83.39	5.89
Cyprinus.carpio	Animals	LG8	19.80	98.41	4.97
Cyprinus.carpio	Animals	LG9	24.32	87.73	3.61
Cyprinus.carpio	Animals	LG10	22.67	99.73	4.40
Cyprinus.carpio	Animals	LG11	19.05	82.85	4.35
Cyprinus.carpio	Animals	LG12	12.73	115.35	9.06
Cyprinus.carpio	Animals	LG13	25.16	76.25	3.03
Cyprinus.carpio	Animals	LG14	18.39	84.57	4.60
Cyprinus.carpio	Animals	LG15	8.52	84.50	9.92
Cyprinus.carpio	Animals	LG16	20.61	65.77	3.19
Cyprinus.carpio	Animals	LG17	15.85	85.88	5.42
Cyprinus.carpio	Animals	LG18	22.44	191.62	8.54
Cyprinus.carpio	Animals	LG19	7.32	98.02	13.39
Cyprinus.carpio	Animals	LG20	16.77	113.65	6.78
Cyprinus.carpio	Animals	LG21	12.99	167.12	12.86
Cyprinus.carpio	Animals	LG22	8.40	99.54	11.85
Cyprinus.carpio	Animals	LG23	18.44	52.18	2.83
Cyprinus.carpio	Animals	LG24	12.45	53.56	4.30
Cyprinus.carpio	Animals	LG25	8.54	85.65	10.03
Cyprinus.carpio	Animals	LG26	16.35	115.77	7.08
Cyprinus.carpio	Animals	LG27	16.30	108.17	6.64
Cyprinus.carpio	Animals	LG28	22.27	105.28	4.73
Cyprinus.carpio	Animals	LG29	17.52	109.39	6.24
Cyprinus.carpio	Animals	LG30	18.52	124.09	6.70
Cyprinus.carpio	Animals	LG31	24.60	107.38	4.37
Cyprinus.carpio	Animals	LG33	24.14	88.90	3.68
Cyprinus.carpio	Animals	LG34	18.89	127.79	6.76
Cyprinus.carpio	Animals	LG35	29.13	95.55	3.28
Cyprinus.carpio	Animals	LG36	22.74	96.73	4.25
Cyprinus.carpio	Animals	LG37	11.25	97.19	8.64
Cyprinus.carpio	Animals	LG38	27.92	47.50	1.70
Cyprinus.carpio	Animals	LG39	16.26	88.06	5.42
Cyprinus.carpio	Animals	LG40	23.49	78.08	3.32
Cyprinus.carpio	Animals	LG41	15.85	49.73	3.14
Cyprinus.carpio	Animals	LG42	13.57	104.78	7.72
Cyprinus.carpio	Animals	LG43	14.33	103.48	7.22
Cyprinus.carpio	Animals	LG44	15.90	109.26	6.87
Cyprinus.carpio	Animals	LG45	17.31	126.42	7.30
Cyprinus.carpio	Animals	LG46	7.83	89.10	11.38
Cyprinus.carpio	Animals	LG47	16.76	94.94	5.66
Cyprinus.carpio	Animals	LG48	22.47	110.23	4.91
Cyprinus.carpio	Animals	LG49	11.14	84.45	7.58
Cyprinus.carpio	Animals	LG50	7.65	64.77	8.47
Citrullus.lanatus	Plants	Pseudochr1	33.99	116.00	3.41
Citrullus.lanatus	Plants	Pseudochr2	33.10	95.54	2.89
Citrullus.lanatus	Plants	Pseudochr3	27.36	65.32	2.39
Citrullus.lanatus	Plants	Pseudochr4	24.13	60.95	2.53
Citrullus.lanatus	Plants	Pseudochr5	32.90	96.66	2.94
Citrullus.lanatus	Plants	Pseudochr6	25.98	63.35	2.44
Citrullus.lanatus	Plants	Pseudochr7	29.87	64.74	2.17
Citrullus.lanatus	Plants	Pseudochr8	25.98	29.64	1.14
Citrullus.lanatus	Plants	Pseudochr9	33.97	79.02	2.33
Citrullus.lanatus	Plants	Pseudochr10	27.86	95.21	3.42
Citrullus.lanatus	Plants	Pseudochr11	25.93	34.35	1.32
Helianthus.annuus	Plants	1	176.98	75.34	0.43
Helianthus.annuus	Plants	2	199.78	84.75	0.42
Helianthus.annuus	Plants	3	210.79	85.51	0.41
Helianthus.annuus	Plants	4	199.72	93.66	0.47
Helianthus.annuus	Plants	5	355.09	87.68	0.25
Helianthus.annuus	Plants	6	84.74	60.78	0.72
Helianthus.annuus	Plants	7	74.44	54.31	0.73
Helianthus.annuus	Plants	8	216.29	67.76	0.31
Helianthus.annuus	Plants	9	296.85	94.12	0.32
Helianthus.annuus	Plants	10	480.71	90.93	0.19
Helianthus.annuus	Plants	11	119.66	82.82	0.69
Helianthus.annuus	Plants	12	227.61	73.16	0.32
Helianthus.annuus	Plants	13	267.52	70.44	0.26
Helianthus.annuus	Plants	14	233.56	74.76	0.32
Helianthus.annuus	Plants	15	223.32	75.83	0.34
Helianthus.annuus	Plants	16	201.44	98.41	0.49
Helianthus.annuus	Plants	17	308.02	101.15	0.33
Caenorhabditis.elegans	Animals	I	14.91	263.78	17.69
Caenorhabditis.elegans	Animals	II	14.96	257.58	17.22
Caenorhabditis.elegans	Animals	III	13.63	260.70	19.13
Caenorhabditis.elegans	Animals	IV	17.33	301.05	17.37
Caenorhabditis.elegans	Animals	V	21.01	282.95	13.47
Gasterosteus.aculeatus	Animals	1	28.82	86.37	3.00
Gasterosteus.aculeatus	Animals	2	22.16	67.26	3.04
Gasterosteus.aculeatus	Animals	3	16.34	47.75	2.92
Gasterosteus.aculeatus	Animals	4	33.24	83.26	2.50
Gasterosteus.aculeatus	Animals	5	15.48	50.03	3.23
Gasterosteus.aculeatus	Animals	6	18.19	60.45	3.32
Gasterosteus.aculeatus	Animals	7	28.80	72.94	2.53
Gasterosteus.aculeatus	Animals	8	19.36	58.42	3.02
Gasterosteus.aculeatus	Animals	9	19.27	53.57	2.78
Gasterosteus.aculeatus	Animals	10	16.43	55.77	3.39
Gasterosteus.aculeatus	Animals	11	16.53	50.55	3.06
Gasterosteus.aculeatus	Animals	12	18.98	55.83	2.94
Gasterosteus.aculeatus	Animals	13	19.88	63.41	3.19
Gasterosteus.aculeatus	Animals	14	15.10	46.43	3.08
Gasterosteus.aculeatus	Animals	15	15.59	50.88	3.26
Gasterosteus.aculeatus	Animals	16	18.76	56.58	3.02
Gasterosteus.aculeatus	Animals	17	19.25	69.16	3.59
Gasterosteus.aculeatus	Animals	18	15.74	49.27	3.13
Gasterosteus.aculeatus	Animals	20	19.23	63.57	3.31
Gasterosteus.aculeatus	Animals	21	15.04	42.93	2.85
Caenorhabditis.briggsae	Animals	I	15.39	171.21	11.12
Caenorhabditis.briggsae	Animals	II	16.55	163.33	9.87
Caenorhabditis.briggsae	Animals	III	14.55	143.73	9.88
Caenorhabditis.briggsae	Animals	IV	17.26	174.67	10.12
Caenorhabditis.briggsae	Animals	V	19.25	170.00	8.83
Glycine.max	Plants	Gm01	57.26	96.74	1.69
Glycine.max	Plants	Gm02	54.05	133.98	2.48
Glycine.max	Plants	Gm03	48.63	93.27	1.92
Glycine.max	Plants	Gm04	50.63	109.60	2.16
Glycine.max	Plants	Gm05	42.15	81.06	1.92
Glycine.max	Plants	Gm06	51.26	136.15	2.66
Glycine.max	Plants	Gm07	44.74	132.24	2.96
Glycine.max	Plants	Gm08	46.54	141.22	3.03
Glycine.max	Plants	Gm09	46.92	94.62	2.02
Glycine.max	Plants	Gm10	50.73	132.93	2.62
Glycine.max	Plants	Gm11	40.70	115.96	2.85
Glycine.max	Plants	Gm12	41.01	106.38	2.59
Glycine.max	Plants	Gm13	45.19	113.24	2.51
Glycine.max	Plants	Gm14	49.95	97.84	1.96
Glycine.max	Plants	Gm15	52.08	94.75	1.82
Glycine.max	Plants	Gm16	37.03	89.22	2.41
Glycine.max	Plants	Gm17	40.31	122.29	3.03
Glycine.max	Plants	Gm18	59.12	110.19	1.86
Glycine.max	Plants	Gm19	50.48	105.32	2.09
Glycine.max	Plants	Gm20	45.60	112.19	2.46
Apis.mellifera	Animals	Chr1	25.75	597.39	23.20
Apis.mellifera	Animals	Chr2	13.97	323.44	23.16
Apis.mellifera	Animals	Chr3	12.32	276.30	22.42
Apis.mellifera	Animals	Chr4	11.02	289.90	26.30
Apis.mellifera	Animals	Chr5	12.79	268.07	20.97
Apis.mellifera	Animals	Chr6	15.06	313.98	20.85
Apis.mellifera	Animals	Chr7	10.78	240.31	22.29
Apis.mellifera	Animals	Chr8	11.11	224.26	20.18
Apis.mellifera	Animals	Chr9	10.25	228.69	22.31
Apis.mellifera	Animals	Chr10	10.62	232.50	21.90
Apis.mellifera	Animals	Chr11	12.55	231.53	18.45
Apis.mellifera	Animals	Chr12	9.83	219.87	22.36
Apis.mellifera	Animals	Chr13	9.97	200.00	20.06
Apis.mellifera	Animals	Chr14	8.65	207.83	24.03
Apis.mellifera	Animals	Chr15	8.16	186.53	22.85
Apis.mellifera	Animals	Chr16	6.03	139.47	23.14
Oryza.sativa	Plants	Chr1	45.20	183.69	4.06
Oryza.sativa	Plants	Chr2	35.96	155.36	4.32
Oryza.sativa	Plants	Chr3	37.04	167.20	4.51
Oryza.sativa	Plants	Chr4	35.16	128.68	3.66
Oryza.sativa	Plants	Chr5	29.40	120.95	4.11
Oryza.sativa	Plants	Chr6	32.12	124.82	3.89
Oryza.sativa	Plants	Chr7	29.95	119.52	3.99
Oryza.sativa	Plants	Chr8	28.74	120.96	4.21
Oryza.sativa	Plants	Chr9	23.79	93.27	3.92
Oryza.sativa	Plants	Chr10	23.54	84.30	3.58
Oryza.sativa	Plants	Chr11	30.81	120.24	3.90
Oryza.sativa	Plants	Chr12	27.48	117.36	4.27
Brassica.napus	Plants	A2	24.99	120.82	4.84
Brassica.napus	Plants	A4	23.50	80.62	3.43
Brassica.napus	Plants	A5	21.82	117.90	5.40
Brassica.napus	Plants	A6	24.00	105.57	4.40
Brassica.napus	Plants	A7	22.45	86.90	3.87
Brassica.napus	Plants	A9	34.02	127.05	3.73
Brassica.napus	Plants	A10	18.40	91.44	4.97
Brassica.napus	Plants	C3	26.82	111.54	4.16
Lates.calcarifer	Animals	1	25.13	115.79	4.61
Lates.calcarifer	Animals	2	25.03	201.29	8.04
Lates.calcarifer	Animals	3	23.33	81.86	3.51
Lates.calcarifer	Animals	4	25.04	202.31	8.08
Lates.calcarifer	Animals	5	28.72	126.04	4.39
Lates.calcarifer	Animals	6	27.87	102.32	3.67
Lates.calcarifer	Animals	7	22.80	42.97	1.88
Lates.calcarifer	Animals	8	13.62	59.63	4.38
Lates.calcarifer	Animals	9	25.91	127.90	4.94
Lates.calcarifer	Animals	10	29.95	103.77	3.47
Lates.calcarifer	Animals	11	27.44	104.91	3.82
Lates.calcarifer	Animals	12	22.87	129.17	5.65
Lates.calcarifer	Animals	13	27.64	172.27	6.23
Lates.calcarifer	Animals	14	27.08	147.51	5.45
Lates.calcarifer	Animals	15	24.80	64.32	2.59
Lates.calcarifer	Animals	16	30.01	125.42	4.18
Lates.calcarifer	Animals	17	24.96	40.23	1.61
Lates.calcarifer	Animals	18	27.47	102.94	3.75
Lates.calcarifer	Animals	19	19.02	190.94	10.04
Lates.calcarifer	Animals	20	24.38	49.87	2.05
Lates.calcarifer	Animals	21	23.21	66.58	2.87
Lates.calcarifer	Animals	22	28.39	26.19	0.92
Lates.calcarifer	Animals	23	17.84	75.86	4.25
Lates.calcarifer	Animals	24	19.70	85.56	4.34
Triticum.aestivum	Plants	1A	248.67	236.44	0.95
Triticum.aestivum	Plants	1B	292.89	340.35	1.16
Triticum.aestivum	Plants	1D	134.36	130.86	0.97
Triticum.aestivum	Plants	2A	252.75	257.69	1.02
Triticum.aestivum	Plants	2B	347.01	375.76	1.08
Triticum.aestivum	Plants	3A	183.71	312.86	1.70
Triticum.aestivum	Plants	3B	185.51	306.45	1.65
Triticum.aestivum	Plants	4A	213.31	218.32	1.02
Triticum.aestivum	Plants	4B	318.93	227.10	0.71
Triticum.aestivum	Plants	5A	146.12	317.25	2.17
Triticum.aestivum	Plants	5B	274.64	309.55	1.13
Triticum.aestivum	Plants	6A	210.24	282.31	1.34
